x_raw,y_calibrated
0.1794125103,0.6000000000
0.1961844707,0.6000000000
0.2039141521,0.6000000000
0.2045878712,0.6000000000
0.2186291071,0.6000000000
0.2187562192,0.6000000000
0.2189455858,0.6000000000
0.2195155865,0.6000000000
0.2258306212,0.6000000000
0.2269401948,0.6000000000
0.2271030873,0.7000000000
0.2283656752,0.7000000000
0.2331504500,0.7000000000
0.2335505480,0.7000000000
0.2342004423,0.7000000000
0.2366030821,0.7000000000
0.2382234681,0.7000000000
0.2388236517,0.7000000000
0.2403627015,0.7000000000
0.2404350712,0.7000000000
0.2409492821,0.7000000000
0.2412656362,0.7000000000
0.2417901158,0.7000000000
0.2419403865,0.7000000000
0.2433603325,0.7000000000
0.2450622136,0.7000000000
0.2451162183,0.7000000000
0.2451305703,0.7000000000
0.2456265907,0.7000000000
0.2458291943,0.7000000000
0.2462353355,0.7000000000
0.2506932714,0.7000000000
0.2507012809,0.7000000000
0.2513686650,0.7000000000
0.2527948297,0.7000000000
0.2535159495,0.7000000000
0.2536175025,0.7000000000
0.2537033008,0.7000000000
0.2556380319,0.7000000000
0.2575315869,0.7000000000
0.2576048520,0.7083333333
0.2579931512,0.7083333333
0.2587006500,0.7083333333
0.2623554434,0.7083333333
0.2626344609,0.7083333333
0.2629840470,0.7083333333
0.2637061657,0.7083333333
0.2644838709,0.7083333333
0.2653030882,0.7083333333
0.2655527932,0.7083333333
0.2659890561,0.7083333333
0.2673493520,0.7083333333
0.2680559532,0.7083333333
0.2684199640,0.7083333333
0.2686779287,0.7083333333
0.2688530564,0.7083333333
0.2695895439,0.7083333333
0.2697520219,0.7083333333
0.2698698101,0.7083333333
0.2701036817,0.7083333333
0.2702235628,0.7083333333
0.2704599814,0.7083333333
0.2706641140,0.7083333333
0.2709149555,0.7083333333
0.2713380813,0.7260869565
0.2716381285,0.7260869565
0.2730742138,0.7260869565
0.2733642867,0.7260869565
0.2738749568,0.7260869565
0.2738777034,0.7260869565
0.2739095135,0.7260869565
0.2739102758,0.7260869565
0.2747832266,0.7260869565
0.2751720666,0.7260869565
0.2752718635,0.7260869565
0.2753820843,0.7260869565
0.2758169240,0.7260869565
0.2762124032,0.7260869565
0.2765275291,0.7260869565
0.2773805112,0.7260869565
0.2777721657,0.7260869565
0.2786274074,0.7260869565
0.2787081132,0.7260869565
0.2789680551,0.7260869565
0.2792813506,0.7260869565
0.2792968736,0.7260869565
0.2794622545,0.7260869565
0.2801294233,0.7260869565
0.2809685844,0.7260869565
0.2813173837,0.7260869565
0.2813281532,0.7260869565
0.2815591149,0.7260869565
0.2817152111,0.7260869565
0.2819809972,0.7260869565
0.2821070989,0.7260869565
0.2821660281,0.7260869565
0.2827034873,0.7260869565
0.2828542517,0.7260869565
0.2830144697,0.7260869565
0.2830390153,0.7260869565
0.2832342417,0.7260869565
0.2834631035,0.7260869565
0.2836532792,0.7260869565
0.2837332233,0.7260869565
0.2847300888,0.7260869565
0.2849178157,0.7260869565
0.2850192948,0.7260869565
0.2858501544,0.7260869565
0.2859127504,0.7260869565
0.2859266779,0.7260869565
0.2860639363,0.7260869565
0.2864750257,0.7260869565
0.2865077551,0.7260869565
0.2866080707,0.7260869565
0.2867896541,0.7260869565
0.2869735812,0.7260869565
0.2884941038,0.7260869565
0.2888395722,0.7260869565
0.2889794647,0.7260869565
0.2895994228,0.7260869565
0.2897911531,0.7260869565
0.2900590272,0.7260869565
0.2903305132,0.7260869565
0.2908574996,0.7260869565
0.2909204432,0.7260869565
0.2914971357,0.7260869565
0.2920719777,0.7260869565
0.2922542627,0.7260869565
0.2937648466,0.7260869565
0.2938214944,0.7260869565
0.2941522923,0.7260869565
0.2941830313,0.7260869565
0.2942170390,0.7260869565
0.2942592359,0.7260869565
0.2947120955,0.7260869565
0.2947135088,0.7260869565
0.2949450015,0.7260869565
0.2950711684,0.7260869565
0.2950993027,0.7260869565
0.2954358497,0.7260869565
0.2955707123,0.7260869565
0.2958138143,0.7260869565
0.2960323136,0.7260869565
0.2963128633,0.7260869565
0.2965271560,0.7260869565
0.2965482555,0.7260869565
0.2965490692,0.7260869565
0.2973722883,0.7260869565
0.2973930324,0.7260869565
0.2974406891,0.7260869565
0.2975596226,0.7260869565
0.2977348183,0.7260869565
0.2983760240,0.7260869565
0.2985313964,0.7260869565
0.2985330405,0.7260869565
0.2986246825,0.7260869565
0.2986705681,0.7260869565
0.2986719659,0.7260869565
0.2990681756,0.7260869565
0.2991122947,0.7260869565
0.2991617863,0.7260869565
0.2992032227,0.7260869565
0.2994989232,0.7260869565
0.2998611212,0.7260869565
0.3005978909,0.7260869565
0.3008046198,0.7260869565
0.3009990293,0.7260869565
0.3010099280,0.7260869565
0.3010512763,0.7260869565
0.3012071194,0.7260869565
0.3013514995,0.7260869565
0.3014048066,0.7260869565
0.3015405431,0.7260869565
0.3015502572,0.7260869565
0.3016948957,0.7260869565
0.3017451992,0.7260869565
0.3019873627,0.7260869565
0.3022051605,0.7260869565
0.3024300139,0.7260869565
0.3031707895,0.7260869565
0.3033399899,0.7260869565
0.3034399724,0.7260869565
0.3038395610,0.7260869565
0.3038488024,0.7260869565
0.3040570611,0.7260869565
0.3041827367,0.7260869565
0.3042331504,0.7260869565
0.3042738108,0.7260869565
0.3046169930,0.7260869565
0.3046795375,0.7260869565
0.3047235829,0.7260869565
0.3053945730,0.7260869565
0.3055993154,0.7260869565
0.3057919181,0.7260869565
0.3058083633,0.7260869565
0.3060228755,0.7260869565
0.3060484331,0.7260869565
0.3067806158,0.7260869565
0.3069573255,0.7260869565
0.3070003328,0.7260869565
0.3075656910,0.7260869565
0.3077205128,0.7260869565
0.3077498349,0.7260869565
